demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0068,68,6,C,E,2,3,9,11,20,F
K0069,69,6,D,B,2,4,10,10,20,R
K0070,70,6,A,D,3,4,10,10,20,R
K0071,71,7,D,B,2,2,9,9,18,R
K0072,72,7,B,A,1,1,8,9,17,R
K0073,73,7,E,B,3,4,11,12,23,P
K0074,74,7,E,B,3,5,12,11,23,F
K0075,75,7,D,E,1,1,8,9,17,P
K0076,76,7,C,D,1,2,9,9,18,F
K0077,77,7,B,D,2,3,10,11,21,P
K0078,78,7,C,B,1,1,8,10,18,R
K0079,79,7,A,E,4,4,11,11,22,R
K0080,80,7,A,D,3,4,11,11,22,R
K0081,81,8,A,E,4,5,13,11,24,R
K0082,82,8,D,A,3,5,13,11,24,F
K0083,83,8,B,D,2,2,10,9,19,R
K0084,84,8,B,E,3,5,13,11,24,P
K0085,85,8,E,D,1,3,11,10,21,R
K0086,86,8,D,A,3,3,11,10,21,P
K0087,87,8,B,D,2,3,11,9,20,P
K0088,88,8,D,A,3,4,12,12,24,P
K0089,89,8,D,B,2,2,10,10,20,R
K0090,90,8,A,E,4,5,13,13,26,P
K0091,91,9,E,D,1,2,11,9,20,R
K0092,92,9,A,D,3,4,13,10,23,F
K0093,93,9,C,E,2,4,13,9,22,R
K0094,94,9,B,A,1,2,11,8,19,P
K0095,95,9,D,B,2,3,12,10,22,P
K0096,96,9,C,B,1,2,11,9,20,F
K0097,97,9,B,A,1,1,10,8,18,P
K0098,98,9,B,D,2,2,11,11,22,R
K0099,99,9,D,B,2,4,13,10,23,R
K0100,100,9,C,E,2,4,13,10,23,F
K0101,101,10,B,E,3,3,13,10,23,F
K0102,102,10,D,E,1,1,11,10,21,R
K0103,103,10,E,D,1,1,11,8,19,F
K0104,104,10,E,D,1,1,11,9,20,P
K0105,105,10,E,C,2,2,12,11,23,R
K0106,106,10,D,C,1,2,12,10,22,P
K0107,107,10,A,B,1,2,12,10,22,F
K0108,108,10,D,C,1,3,13,10,23,R
K0109,109,10,C,D,1,2,12,10,22,F
K0110,110,10,D,A,3,4,14,11,25,R
K0111,111,11,D,B,2,3,14,9,23,R
K0112,112,11,B,E,3,4,15,12,27,F
K0113,113,11,C,B,1,3,14,9,23,R
K0114,114,11,E,D,1,3,14,9,23,P
K0115,115,11,D,E,1,2,13,8,21,R
K0116,116,11,E,A,4,4,15,11,26,R
K0117,117,11,C,A,2,3,14,9,23,P
K0118,118,11,E,A,4,4,15,12,27,R
K0119,119,11,A,C,2,4,15,11,26,P
K0120,120,11,B,E,3,3,14,10,24,F
K0121,121,12,C,B,1,1,13,9,22,F
K0122,122,12,B,C,1,2,14,9,23,F
K0123,123,12,C,B,1,2,14,10,24,P
K0124,124,12,D,E,1,2,14,10,24,R
K0125,125,12,E,C,2,3,15,11,26,P
K0126,126,12,E,A,4,4,16,11,27,P
K0127,127,12,C,E,2,4,16,10,26,P
K0128,128,12,B,C,1,2,14,9,23,R
K0129,129,12,D,E,1,1,13,8,21,R
K0130,130,12,B,E,3,4,16,11,27,R
K0131,131,13,D,E,1,1,14,9,23,F
K0132,132,13,A,B,1,1,14,8,22,R
K0133,133,13,C,D,1,2,15,8,23,F
K0134,134,13,A,E,4,6,19,13,32,P
K0135,135,13,A,C,2,2,15,10,25,R
K0136,136,13,B,C,1,1,14,9,23,F
K0137,137,13,B,E,3,4,17,12,29,P
K0138,138,13,A,E,4,6,19,11,30,R
K0139,139,13,C,A,2,2,15,10,25,P
K0140,140,13,A,B,1,3,16,8,24,P
