demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0057,57,5,E,C,2,2,7,9,16,F
K0058,58,5,E,A,4,4,9,13,22,P
K0059,59,5,D,C,1,1,6,9,15,P
K0060,60,5,A,B,1,2,7,8,15,F
K0061,61,6,E,C,2,3,9,9,18,P
K0062,62,6,E,D,1,3,9,10,19,F
K0063,63,6,D,C,1,2,8,10,18,F
K0064,64,6,E,B,3,3,9,10,19,P
K0065,65,6,C,B,1,3,9,10,19,R
K0066,66,6,E,C,2,2,8,10,18,F
K0067,67,6,B,E,3,5,11,11,22,P
K0068,68,6,A,B,1,2,8,9,17,F
K0069,69,6,C,D,1,1,7,8,15,F
K0070,70,6,B,A,1,1,7,8,15,F
K0071,71,7,C,D,1,2,9,9,18,R
K0072,72,7,A,D,3,3,10,10,20,F
K0073,73,7,C,A,2,2,9,10,19,R
K0074,74,7,D,C,1,3,10,8,18,P
K0075,75,7,D,E,1,2,9,8,17,R
K0076,76,7,E,C,2,3,10,10,20,F
K0077,77,7,D,A,3,4,11,12,23,R
K0078,78,7,B,C,1,2,9,9,18,F
K0079,79,7,D,E,1,2,9,9,18,P
K0080,80,7,E,B,3,5,12,11,23,F
K0081,81,8,E,B,3,5,13,12,25,F
K0082,82,8,B,E,3,4,12,10,22,R
K0083,83,8,B,E,3,4,12,12,24,P
K0084,84,8,A,C,2,4,12,10,22,R
K0085,85,8,C,B,1,3,11,10,21,R
K0086,86,8,D,E,1,3,11,9,20,R
K0087,87,8,C,D,1,1,9,8,17,F
K0088,88,8,C,B,1,2,10,9,19,R
K0089,89,8,C,B,1,2,10,8,18,P
K0090,90,8,E,B,3,3,11,12,23,R
K0091,91,9,B,A,1,1,10,9,19,R
K0092,92,9,E,D,1,2,11,9,20,R
K0093,93,9,E,A,4,6,15,13,28,P
K0094,94,9,A,C,2,4,13,10,23,R
K0095,95,9,E,C,2,4,13,11,24,P
K0096,96,9,E,A,4,6,15,11,26,F
K0097,97,9,C,B,1,3,12,9,21,P
K0098,98,9,B,C,1,1,10,9,19,F
K0099,99,9,B,C,1,2,11,10,21,R
K0100,100,9,E,B,3,4,13,11,24,R
K0101,101,10,E,A,4,4,14,13,27,R
K0102,102,10,E,D,1,1,11,9,20,R
K0103,103,10,D,C,1,3,13,10,23,F
K0104,104,10,C,A,2,3,13,10,23,F
K0105,105,10,A,E,4,5,15,12,27,R
K0106,106,10,B,A,1,1,11,8,19,F
K0107,107,10,C,E,2,4,14,10,24,R
K0108,108,10,E,A,4,4,14,12,26,F
K0109,109,10,D,C,1,2,12,10,22,F
K0110,110,10,B,E,3,3,13,10,23,F
K0111,111,11,C,B,1,2,13,9,22,R
K0112,112,11,D,E,1,3,14,8,22,P
K0113,113,11,E,A,4,5,16,12,28,F
K0114,114,11,E,C,2,2,13,11,24,P
K0115,115,11,D,E,1,3,14,9,23,F
K0116,116,11,A,B,1,1,12,10,22,P
K0117,117,11,B,C,1,1,12,8,20,R
K0118,118,11,A,B,1,2,13,8,21,F
K0119,119,11,C,B,1,3,14,8,22,F
K0120,120,11,E,D,1,3,14,8,22,F
K0121,121,12,C,D,1,3,15,8,23,P
K0122,122,12,C,D,1,2,14,9,23,F
K0123,123,12,C,E,2,2,14,9,23,P
K0124,124,12,C,E,2,2,14,9,23,R
K0125,125,12,D,C,1,1,13,10,23,R
K0126,126,12,E,A,4,5,17,11,28,R
K0127,127,12,A,E,4,5,17,11,28,F
K0128,128,12,B,A,1,3,15,8,23,P
K0129,129,12,C,B,1,1,13,9,22,R
K0130,130,12,E,C,2,4,16,10,26,R
K0131,131,13,E,A,4,6,19,12,31,R
K0132,132,13,A,B,1,3,16,10,26,F
K0133,133,13,D,A,3,5,18,12,30,F
K0134,134,13,A,D,3,4,17,10,27,P
K0135,135,13,B,C,1,3,16,8,24,P
K0136,136,13,B,C,1,1,14,10,24,P
K0137,137,13,D,E,1,2,15,9,24,P
K0138,138,13,B,C,1,3,16,9,25,P
K0139,139,13,E,A,4,5,18,11,29,P
K0140,140,13,E,B,3,4,17,11,28,F
