demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0078,78,7,A,D,3,3,10,12,22,R
K0079,79,7,C,D,1,2,9,10,19,R
K0080,80,7,C,A,2,2,9,11,20,R
K0081,81,8,C,A,2,2,10,10,20,R
K0082,82,8,A,D,3,4,12,11,23,F
K0083,83,8,C,A,2,2,10,10,20,R
K0084,84,8,E,B,3,5,13,11,24,F
K0085,85,8,D,B,2,4,12,9,21,F
K0086,86,8,E,C,2,3,11,10,21,R
K0087,87,8,C,A,2,2,10,9,19,R
K0088,88,8,D,B,2,3,11,9,20,R
K0089,89,8,B,A,1,3,11,10,21,F
K0090,90,8,B,D,2,4,12,10,22,F
K0091,91,9,C,B,1,3,12,10,22,P
K0092,92,9,E,D,1,3,12,8,20,F
K0093,93,9,B,A,1,2,11,9,20,P
K0094,94,9,C,E,2,2,11,10,21,P
K0095,95,9,D,B,2,4,13,9,22,P
K0096,96,9,E,D,1,3,12,10,22,R
K0097,97,9,D,E,1,2,11,8,19,R
K0098,98,9,B,D,2,3,12,10,22,R
K0099,99,9,E,A,4,5,14,12,26,F
K0100,100,9,D,C,1,3,12,10,22,R
K0101,101,10,A,B,1,2,12,10,22,F
K0102,102,10,C,A,2,3,13,11,24,F
K0103,103,10,E,C,2,4,14,10,24,F
K0104,104,10,C,B,1,1,11,9,20,R
K0105,105,10,D,E,1,1,11,9,20,P
K0106,106,10,A,C,2,4,14,9,23,P
K0107,107,10,D,C,1,3,13,10,23,F
K0108,108,10,E,D,1,3,13,8,21,R
K0109,109,10,B,A,1,1,11,8,19,P
K0110,110,10,E,A,4,4,14,11,25,F
K0111,111,11,D,A,3,4,15,11,26,P
K0112,112,11,E,D,1,3,14,8,22,R
K0113,113,11,E,A,4,4,15,13,28,F
K0114,114,11,D,E,1,3,14,8,22,R
K0115,115,11,A,C,2,3,14,11,25,R
K0116,116,11,A,B,1,1,12,10,22,R
K0117,117,11,E,C,2,2,13,9,22,F
K0118,118,11,E,D,1,2,13,10,23,F
K0119,119,11,D,E,1,3,14,9,23,R
K0120,120,11,C,D,1,1,12,9,21,P
K0121,121,12,C,A,2,4,16,9,25,P
K0122,122,12,C,D,1,1,13,9,22,F
K0123,123,12,B,D,2,2,14,9,23,F
K0124,124,12,D,B,2,4,16,11,27,R
K0125,125,12,C,E,2,2,14,10,24,P
K0126,126,12,D,E,1,3,15,8,23,R
K0127,127,12,B,A,1,3,15,8,23,P
K0128,128,12,B,C,1,1,13,9,22,P
K0129,129,12,E,B,3,3,15,10,25,P
K0130,130,12,A,B,1,3,15,9,24,R
K0131,131,13,A,D,3,5,18,11,29,F
K0132,132,13,B,D,2,3,16,10,26,R
K0133,133,13,A,D,3,4,17,12,29,R
K0134,134,13,B,D,2,2,15,10,25,F
K0135,135,13,C,D,1,3,16,8,24,F
K0136,136,13,B,A,1,2,15,8,23,P
K0137,137,13,D,A,3,5,18,12,30,R
K0138,138,13,C,B,1,2,15,9,24,P
K0139,139,13,B,C,1,1,14,8,22,R
K0140,140,13,A,B,1,3,16,8,24,R
