reservation_time,slot_number,forecast_id,origin,destination,availability_time,due_time,category,fare_per_teu,volume_outcomes
2,8,FC0028,B,C,5,13,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,9,FC0029,B,A,3,11,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,10,FC0030,C,E,5,15,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,1,FC0031,D,E,4,14,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,2,FC0032,A,B,6,15,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,3,FC0033,D,A,8,18,P,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,4,FC0034,B,E,6,18,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,5,FC0035,C,A,7,17,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,6,FC0036,B,C,5,14,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,7,FC0037,D,A,8,19,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,8,FC0038,D,E,5,15,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,9,FC0039,E,C,5,15,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,10,FC0040,C,E,5,16,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,1,FC0041,B,A,5,15,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,2,FC0042,C,B,6,15,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,3,FC0043,D,C,6,14,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,4,FC0044,A,C,7,18,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,5,FC0045,B,D,7,18,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,6,FC0046,D,E,7,15,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,7,FC0047,B,A,6,15,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,8,FC0048,A,D,7,17,R,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,9,FC0049,D,B,8,19,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,10,FC0050,C,D,7,16,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,1,FC0051,C,D,8,17,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,2,FC0052,A,B,8,18,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,3,FC0053,E,D,7,15,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,4,FC0054,A,C,7,17,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,5,FC0055,E,B,9,19,R,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,6,FC0056,D,B,9,18,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,7,FC0057,C,E,9,20,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,8,FC0058,C,B,8,16,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,9,FC0059,E,B,8,19,P,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,10,FC0060,A,B,7,15,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,1,FC0061,E,B,11,22,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,2,FC0062,A,C,8,17,P,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,3,FC0063,C,B,8,16,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,4,FC0064,B,A,8,17,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,5,FC0065,E,D,9,18,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,6,FC0066,B,D,8,19,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,7,FC0067,D,C,8,17,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,8,FC0068,A,C,8,19,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,9,FC0069,E,B,11,22,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,10,FC0070,A,B,7,15,F,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,1,FC0071,D,B,10,20,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,2,FC0072,C,B,10,20,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,3,FC0073,A,C,11,22,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,4,FC0074,B,A,9,18,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,5,FC0075,B,A,10,19,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,6,FC0076,E,B,10,22,R,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,7,FC0077,C,B,9,18,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,8,FC0078,E,B,10,20,R,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,9,FC0079,D,E,10,20,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
7,10,FC0080,E,C,9,20,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,1,FC0081,A,E,13,26,P,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,2,FC0082,D,A,13,24,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,3,FC0083,E,C,11,21,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,4,FC0084,B,C,11,19,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,5,FC0085,B,D,12,21,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,6,FC0086,C,D,10,18,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,7,FC0087,D,C,9,19,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,8,FC0088,C,E,12,23,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,9,FC0089,A,E,13,24,F,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
8,10,FC0090,C,E,11,21,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,1,FC0091,B,A,10,18,P,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,2,FC0092,A,B,10,18,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,3,FC0093,B,A,11,20,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,4,FC0094,B,D,13,24,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,5,FC0095,D,B,11,20,P,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,6,FC0096,B,D,13,23,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,7,FC0097,A,E,13,25,P,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,8,FC0098,E,C,11,22,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,9,FC0099,A,E,13,25,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
9,10,FC0100,E,A,13,26,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,1,FC0101,E,B,13,24,R,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,2,FC0102,A,B,11,21,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,3,FC0103,C,B,13,22,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,4,FC0104,A,B,11,19,F,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,5,FC0105,B,C,12,22,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,6,FC0106,C,E,13,24,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,7,FC0107,D,B,14,23,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,8,FC0108,D,C,13,21,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,9,FC0109,B,C,11,19,F,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
10,10,FC0110,B,A,12,20,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,1,FC0111,D,C,12,22,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,2,FC0112,A,C,13,22,F,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,3,FC0113,C,E,14,23,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,4,FC0114,D,E,13,22,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,5,FC0115,E,B,16,28,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,6,FC0116,B,C,12,22,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,7,FC0117,E,D,14,24,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,8,FC0118,D,B,14,24,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,9,FC0119,B,C,13,21,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
11,10,FC0120,B,C,14,24,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,1,FC0121,A,D,15,27,P,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,2,FC0122,E,B,16,28,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,3,FC0123,A,C,16,26,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,4,FC0124,B,E,16,28,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,5,FC0125,E,A,16,28,F,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,6,FC0126,A,E,18,29,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,7,FC0127,C,D,13,23,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,8,FC0128,B,D,15,24,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,9,FC0129,A,C,16,27,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
12,10,FC0130,A,B,14,24,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,1,FC0131,D,E,16,26,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,2,FC0132,E,B,17,28,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,3,FC0133,C,D,16,25,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,4,FC0134,E,B,16,28,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,5,FC0135,C,B,16,25,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,6,FC0136,C,E,16,27,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,7,FC0137,D,C,16,26,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,8,FC0138,B,E,17,28,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,9,FC0139,C,A,16,25,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
13,10,FC0140,C,E,17,28,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
