service_family,capacity_teu,water_factor,paper_afr_pct,paper_nfr_pct,paper_vt_pct,paper_vfb_pct,paper_vob_pct,paper_note,controlled_afr_pct,controlled_nfr_pct,controlled_vtr_pct,controlled_vfb_pct,controlled_vob_pct,afr_delta_pp,nfr_delta_pp,vtr_minus_paper_vt_pp,vfb_delta_pp,vob_delta_pp
service_family_1,40,0.9,89,8,7,71,78,Publication prints NFR=8. Value retained literally; not silently corrected.,56.398809523809526,50.75892857142858,0.0,98.88475836431226,98.88475836431226,-32.601190476190474,42.75892857142858,-7.0,27.884758364312262,20.884758364312262
service_family_1,40,0.8,93,75,13,64,77,,63.44866071428571,50.75892857142858,0.6505576208178439,97.95539033457248,98.60594795539033,-29.551339285714292,-24.241071428571423,-12.349442379182156,33.955390334572485,21.605947955390334
service_family_1,40,0.7,95,67,22,54,77,,67.41071428571429,47.1875,5.111524163568773,93.12267657992565,98.23420074349443,-27.589285714285708,-19.8125,-16.888475836431226,39.12267657992565,21.234200743494426
service_family_2,10,1.0,98,98,9,52,61,,83.03571428571429,83.03571428571429,0.0,73.7918215613383,73.7918215613383,-14.964285714285708,-14.964285714285708,-9.0,21.791821561338296,12.791821561338296
service_family_2,10,0.9,99,90,10,48,58,,82.88690476190476,74.59821428571428,4.83271375464684,67.1003717472119,71.93308550185874,-16.11309523809524,-15.401785714285722,-5.16728624535316,19.100371747211895,13.933085501858741
service_family_2,10,0.8,100,80,15,42,57,,83.31473214285714,66.65178571428572,10.315985130111525,60.037174721189594,70.35315985130111,-16.68526785714286,-13.348214285714278,-4.684014869888475,18.037174721189594,13.353159851301115
service_family_2,10,0.7,99,69,20,38,58,,84.24744897959184,58.973214285714285,17.193308550185872,52.41635687732342,69.6096654275093,-14.752551020408163,-10.026785714285715,-2.806691449814128,14.416356877323423,11.609665427509299
service_family_2,20,1.0,93,93,6,76,83,,64.97767857142858,64.97767857142858,0.0,99.90706319702602,99.90706319702602,-28.022321428571416,-28.022321428571416,-6.0,23.90706319702602,16.90706319702602
service_family_2,20,0.9,96,87,9,72,81,,70.46130952380952,63.41517857142858,0.0,99.81412639405204,99.81412639405204,-25.53869047619048,-23.584821428571423,-9.0,27.81412639405204,18.81412639405204
service_family_2,20,0.8,99,79,14,64,79,,75.33482142857143,60.26785714285714,1.3940520446096654,98.14126394052045,99.53531598513011,-23.66517857142857,-18.73214285714286,-12.605947955390334,34.141263940520446,20.53531598513011
service_family_2,20,0.7,99,69,24,55,79,,77.42346938775509,54.19642857142857,5.669144981412639,93.02973977695167,98.69888475836431,-21.57653061224491,-14.80357142857143,-18.33085501858736,38.02973977695167,19.698884758364315
service_family_2,30,1.0,84,84,2,91,93,,43.67559523809524,43.67559523809524,0.0,100.0,100.0,-40.32440476190476,-40.32440476190476,-2.0,9.0,7.0
service_family_2,30,0.9,91,82,5,87,92,,45.80026455026455,41.220238095238095,0.0,100.0,100.0,-45.19973544973545,-40.779761904761905,-5.0,13.0,8.0
service_family_2,30,0.8,94,75,13,78,91,,54.371279761904766,43.49702380952381,0.0,100.0,100.0,-39.628720238095234,-31.50297619047619,-13.0,22.0,9.0
service_family_2,30,0.7,97,68,20,70,90,,61.330782312925166,42.93154761904761,0.0,100.0,100.0,-35.669217687074834,-25.068452380952387,-20.0,30.0,10.0
service_family_2,40,1.0,75,75,1,97,98,,30.502232142857146,30.502232142857146,0.0,100.0,100.0,-44.497767857142854,-44.497767857142854,-1.0,3.0,2.0
service_family_2,40,0.9,82,73,2,95,97,,34.04017857142857,30.636160714285715,0.0,100.0,100.0,-47.95982142857143,-42.363839285714285,-2.0,5.0,3.0
service_family_2,40,0.8,87,70,7,89,96,,39.99720982142857,31.997767857142854,0.0,100.0,100.0,-47.00279017857143,-38.002232142857146,-7.0,11.0,4.0
service_family_2,40,0.7,92,65,16,79,95,,45.77487244897959,32.042410714285715,0.0,100.0,100.0,-46.22512755102041,-32.957589285714285,-16.0,21.0,5.0
