policy_key,policy_label,sequence_number,event_id,decision_time,demand_id,category,requested_volume,event_status,solve_status,acceptance_fraction,accepted_volume,current_realised_revenue,optimisation_objective,future_expected_revenue,forecast_count,protected_forecast_count,selected_protection_volume,forecast_ids,protected_forecast_ids
rm_printed_p20,DCA-RM printed p=0.20,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,1,5,109.75,176.4355,66.6855,4,3,15,K0002;K0007;K0010;K0017,K0002;K0007;K0017
rm_printed_p20,DCA-RM printed p=0.20,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,205.509,64.599,11,2,12,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018
rm_printed_p20,DCA-RM printed p=0.20,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,156.1565,30.0065,6,2,9,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018
rm_printed_p20,DCA-RM printed p=0.20,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,90.1,22.26,2,1,7,K0002;K0017,K0002
rm_printed_p20,DCA-RM printed p=0.20,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,79.345,11.925,2,1,5,K0002;K0017,K0002
rm_printed_p20,DCA-RM printed p=0.20,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,60.15625,14.75625,4,1,5,K0002;K0014;K0015;K0019,K0014
rm_printed_p20,DCA-RM printed p=0.20,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,
rm_printed_p20,DCA-RM printed p=0.20,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_printed_p20,DCA-RM printed p=0.20,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,282.8425,254.9225,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_printed_p50,DCA-RM printed p=0.50,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,334.02375,189.84375,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015
rm_printed_p50,DCA-RM printed p=0.50,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,266.3025,177.2325,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
rm_printed_p50,DCA-RM printed p=0.50,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,0.4,2,43.9,287.71,243.81,4,3,18,K0002;K0007;K0010;K0017,K0002;K0007;K0017
rm_printed_p50,DCA-RM printed p=0.50,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,370.13,229.22,11,2,15,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018
rm_printed_p50,DCA-RM printed p=0.50,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,232.3625,106.2125,6,2,12,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018
rm_printed_p50,DCA-RM printed p=0.50,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,164.81125,96.97125,2,2,10,K0002;K0017,K0002;K0017
rm_printed_p50,DCA-RM printed p=0.50,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,138.97,71.55,2,1,8,K0002;K0017,K0002
rm_printed_p50,DCA-RM printed p=0.50,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,116.95,71.55,4,1,8,K0002;K0014;K0015;K0019,K0002
rm_printed_p50,DCA-RM printed p=0.50,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,
rm_printed_p50,DCA-RM printed p=0.50,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_printed_p50,DCA-RM printed p=0.50,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,435.796,407.876,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_printed_p80,DCA-RM printed p=0.80,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,447.93,303.75,4,3,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015
rm_printed_p80,DCA-RM printed p=0.80,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,372.642,283.572,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
rm_printed_p80,DCA-RM printed p=0.80,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,0.4,2,43.9,433.996,390.096,4,3,18,K0002;K0007;K0010;K0017,K0002;K0007;K0017
rm_printed_p80,DCA-RM printed p=0.80,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,507.662,366.752,11,2,15,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0017;K0018
rm_printed_p80,DCA-RM printed p=0.80,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,296.09,169.94,6,2,12,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0018
rm_printed_p80,DCA-RM printed p=0.80,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,8.881784197e-16,1.776356839e-15,6.025402399e-14,243.264,243.264,2,2,12,K0002;K0017,K0002;K0017
rm_printed_p80,DCA-RM printed p=0.80,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,222.574,155.154,2,2,10,K0002;K0017,K0002;K0017
rm_printed_p80,DCA-RM printed p=0.80,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,171.685,126.285,4,2,10,K0002;K0014;K0015;K0019,K0002;K0014
rm_printed_p80,DCA-RM printed p=0.80,12,booking::0012::K0017,0,K0017,R,6,solved,integer optimal solution,1,6,352.44,384.24,31.8,1,1,4,K0002,K0002
rm_printed_p80,DCA-RM printed p=0.80,13,booking::0013::K0019,0,K0019,F,5,solved,integer optimal solution,0,0,0,31.8,31.8,2,1,4,K0002;K0015,K0002
rm_printed_p80,DCA-RM printed p=0.80,14,booking::0014::K0002,1,K0002,P,5,solved,integer optimal solution,0.8,4,127.2,127.2,0,5,0,0,K0008;K0013;K0014;K0018;K0020,
rm_printed_p80,DCA-RM printed p=0.80,15,booking::0015::K0008,1,K0008,F,8,solved,integer optimal solution,0,0,0,0,0,4,0,0,K0013;K0014;K0018;K0020,
rm_printed_p80,DCA-RM printed p=0.80,16,booking::0016::K0013,1,K0013,R,5,failed,integer infeasible,,,,,,3,0,0,K0014;K0018;K0020,
rm_printed_p80,DCA-RM printed p=0.80,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_printed_p80,DCA-RM printed p=0.80,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,145.0695,117.1495,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p20,DCA-RM capped p=0.20,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,234.15625,89.97625,4,4,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p20,DCA-RM capped p=0.20,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,159.963,70.893,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
rm_capped_p20,DCA-RM capped p=0.20,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,1,5,109.75,214.13525,104.38525,4,4,15,K0002;K0007;K0010;K0017,K0002;K0007;K0010;K0017
rm_capped_p20,DCA-RM capped p=0.20,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,246.40225,105.49225,11,6,12,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0009;K0013;K0014;K0017;K0018;K0020
rm_capped_p20,DCA-RM capped p=0.20,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,191.2605,65.1105,6,4,9,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0013;K0014;K0018
rm_capped_p20,DCA-RM capped p=0.20,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,113.7175,45.8775,2,2,7,K0002;K0017,K0002;K0017
rm_capped_p20,DCA-RM capped p=0.20,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,91.27,23.85,2,1,5,K0002;K0017,K0002
rm_capped_p20,DCA-RM capped p=0.20,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,77.98375,32.58375,4,2,5,K0002;K0014;K0015;K0019,K0002;K0014
rm_capped_p20,DCA-RM capped p=0.20,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,
rm_capped_p20,DCA-RM capped p=0.20,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_capped_p20,DCA-RM capped p=0.20,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,320.79375,292.87375,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p50,DCA-RM capped p=0.50,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,369.120625,224.940625,4,4,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p50,DCA-RM capped p=0.50,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,266.3025,177.2325,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
rm_capped_p50,DCA-RM capped p=0.50,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,1,5,109.75,370.713125,260.963125,4,4,15,K0002;K0007;K0010;K0017,K0002;K0007;K0010;K0017
rm_capped_p50,DCA-RM capped p=0.50,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,404.640625,263.730625,11,6,12,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0009;K0013;K0014;K0017;K0018;K0020
rm_capped_p50,DCA-RM capped p=0.50,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,288.92625,162.77625,6,4,9,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0013;K0014;K0018
rm_capped_p50,DCA-RM capped p=0.50,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,182.53375,114.69375,2,2,7,K0002;K0017,K0002;K0017
rm_capped_p50,DCA-RM capped p=0.50,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,127.045,59.625,2,1,5,K0002;K0017,K0002
rm_capped_p50,DCA-RM capped p=0.50,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,126.859375,81.459375,4,2,5,K0002;K0014;K0015;K0019,K0002;K0014
rm_capped_p50,DCA-RM capped p=0.50,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,
rm_capped_p50,DCA-RM capped p=0.50,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_capped_p50,DCA-RM capped p=0.50,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,1,booking::0001::K0001,0,K0001,P,1,solved,integer optimal solution,1,1,27.92,496.518,468.598,4,4,25,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p80,DCA-RM capped p=0.80,2,booking::0002::K0003,0,K0003,P,6,solved,integer optimal solution,1,6,144.18,504.085,359.905,4,4,19,K0002;K0007;K0015;K0019,K0002;K0007;K0015;K0019
rm_capped_p80,DCA-RM capped p=0.80,3,booking::0003::K0004,0,K0004,F,3,solved,integer optimal solution,1,3,118.08,118.08,0,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,4,booking::0004::K0005,0,K0005,P,8,solved,integer optimal solution,0.375,3,89.07,372.642,283.572,4,2,16,K0002;K0007;K0015;K0019,K0002;K0007
rm_capped_p80,DCA-RM capped p=0.80,5,booking::0005::K0006,0,K0006,P,5,solved,integer optimal solution,0.6,3,65.85,530.631,464.781,4,4,17,K0002;K0007;K0010;K0017,K0002;K0007;K0010;K0017
rm_capped_p80,DCA-RM capped p=0.80,6,booking::0006::K0007,0,K0007,R,3,solved,integer optimal solution,1,3,140.91,618.154,477.244,11,6,14,K0002;K0008;K0009;K0010;K0013;K0014;K0015;K0017;K0018;K0019;K0020,K0009;K0013;K0014;K0017;K0018;K0020
rm_capped_p80,DCA-RM capped p=0.80,7,booking::0007::K0009,0,K0009,R,3,solved,integer optimal solution,1,3,126.15,442.73,316.58,6,5,11,K0002;K0008;K0013;K0014;K0018;K0020,K0002;K0013;K0014;K0018;K0020
rm_capped_p80,DCA-RM capped p=0.80,8,booking::0008::K0010,0,K0010,F,2,solved,integer optimal solution,1,2,67.84,267.25,199.41,2,2,9,K0002;K0017,K0002;K0017
rm_capped_p80,DCA-RM capped p=0.80,9,booking::0009::K0011,0,K0011,R,2,solved,integer optimal solution,1,2,67.42,178.72,111.3,2,1,7,K0002;K0017,K0002
rm_capped_p80,DCA-RM capped p=0.80,10,booking::0010::K0012,0,K0012,P,4,solved,optimal,0.25,1,42.19,42.19,0,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,11,booking::0011::K0016,0,K0016,P,2,solved,integer optimal solution,1,2,45.4,214.49,169.09,4,2,7,K0002;K0014;K0015;K0019,K0002;K0014
rm_capped_p80,DCA-RM capped p=0.80,12,booking::0012::K0017,0,K0017,R,6,failed,integer infeasible,,,,,,1,0,0,K0002,
rm_capped_p80,DCA-RM capped p=0.80,13,booking::0013::K0019,0,K0019,F,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,14,booking::0014::K0002,1,K0002,P,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,15,booking::0015::K0008,1,K0008,F,8,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,16,booking::0016::K0013,1,K0013,R,5,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,17,booking::0017::K0014,1,K0014,F,4,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,18,booking::0018::K0015,1,K0015,F,1,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,19,booking::0019::K0018,1,K0018,F,7,not-run,not-run,,,,,,0,0,0,,
rm_capped_p80,DCA-RM capped p=0.80,20,booking::0020::K0020,1,K0020,R,1,not-run,not-run,,,,,,0,0,0,,
